Name of the neighborhood,Shleter Number,Address,Area,Type,Capacity,Operator,X-axis coordinates,Y axis coordinates,Address for the map,Administration,neighborhood,category
Rehavia,Public Shelter No.835,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77225570%2C35.21615190&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77225570%2C35.21615190&amp;navigate=yes&amp;zoom=16"">18 Arlozorov St.</a> ",190,,152,"Emergency and Security Division, Jerusalem Municipality",31.772262658494302,35.21589868860039,18 Arlozorov St.,,,Rehavia
Baka,Public Shelter No.836,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75973420%2C35.21916510&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75973420%2C35.21916510&amp;navigate=yes&amp;zoom=16"">27 Menashe St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.75968621,35.21989257,27 Menashe St.,,,Baka
Mekor Baruch,Public Shelter No.839,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78756880%2C35.20890510&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78756880%2C35.20890510&amp;navigate=yes&amp;zoom=16"">14 Tashbatz St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.78743779,35.16634432,14 Tashbatz St.,,,Makor Baruch
,Public Shelter No.840,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75297450%2C35.16710100&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75297450%2C35.16710100&amp;navigate=yes&amp;zoom=16"">70 Costa Rica St.</a> ",100,shelter,32,"""Beit Chabad"" building",31.75303908,35.16703205,70 Costa Rica St.,,,"Ir Ganim, Accessible Shelter"
Katamon,Public Shelter No.842,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75301240%2C35.19558420&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75301240%2C35.19558420&amp;navigate=yes&amp;zoom=16"">8 Bar Yochai St.</a> ",174,,139,synagogue for Israelis of Ethiopian origin ,31.75311816,35.19538627,8 Bar Yochai St.,,,Gonenim - Katamonim
Ir Ganim,Public Shelter No.901,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EiBJY2VsYW5kIFN0IDEzLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCVmA0b551wIVEehdh4WAcgmhEA0qFAoSCY9mtXh51wIVETGWJsiPzKKR&amp;ll=31.75910710%2C35.16652080&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EiBJY2VsYW5kIFN0IDEzLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCVmA0b551wIVEehdh4WAcgmhEA0qFAoSCY9mtXh51wIVETGWJsiPzKKR&amp;ll=31.75910710%2C35.16652080&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">13 Iceland St&nbsp;</a> ",150,,120,"""David Moshe"" synagogue",31.75927128,35.16653153,"13 Iceland St ",,,Ir Ganim
Ir Ganim,Public Shelter No.902,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75446060%2C35.16927980&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75446060%2C35.16927980&amp;navigate=yes&amp;zoom=16"">29 HaNurit St.</a> ",250,,200,"Ezra Movement, Society Division, Jerusalem Municipality",31.75487408,35.16903666,29 HaNurit St.,,,Ir Ganim
"Ein Karem ",Public Shelter No.903,"<a rel=""noopener"" href=""https://ul.waze.com/ul?venue_id=23068990.230427753.362373&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?venue_id=23068990.230427753.362373&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">82 Homat HaTzalafim St.</a> ",120,,96,"Artists' studio, Ein Kerem Community Center",31.76842599,35.16359315,82 Homat HaTzalafim St.,,,Ein Kerem
Geula,Public Shelter No.904,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78996270%2C35.21151270&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78996270%2C35.21151270&amp;navigate=yes&amp;zoom=16"">7 HaZayit St.</a> ",125,,100,"Sanitation Division, Jerusalem Municipality",31.79038842,35.2112935,7 HaZayit St.,,,Geula
Katamon,Public Shelter No.906,"<a rel=""noopener"" href=""https://ul.waze.com/ul?preview_venue_id=23068990.230689895.203291&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75330350%2C35.19301290&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75330350%2C35.19301290&amp;navigate=yes&amp;zoom=16"">2 Bar Yochai St.</a> ",100,,80,"""Gal Avraham"" synagogue",31.75430501,35.19884543,2 Bar Yochai St.,,,Gonenim - Katamonim
Mekor Baruch,Public Shelter No.909,"<a href=""https://www.waze.com/ul?ll=31.78975390%2C35.20947140&amp;navigate=yes&amp;zoom=16"" data-anchor=""?ll=31.78975390%2C35.20947140&amp;navigate=yes&amp;zoom=16"">7 Yehuda HaMaccabi St.</a> ",120,,96,"Toar Gallery, Culture Division, Jerusalem Municipality",31.788772024648548,35.209420974531916,7 Yehuda HaMaccabi St.,,,Makor Baruch
"Bukharim ",Public Shelter No.910,"<a rel=""noopener"" href=""https://ul.waze.com/ul?ll=31.79114300%2C35.21504600&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.79162200%2C35.21488460&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79114300%2C35.21504600&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.79162200%2C35.21488460&amp;navigate=yes&amp;zoom=16"">Ovadya St 22</a> ",100,,80,"Karlin Hassidic community's ""Beit Bracha""",31.79171933,35.21486308,Ovadya St 22,,,Beit Israel - Bucharim
Old Katamon,Public Shelter No.923,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76182730%2C35.21393840&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76182730%2C35.21393840&amp;navigate=yes&amp;zoom=16"">15 Elazar HaModa'i St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality ","31.76185405030013,",35.21380463,15 Elazar HaModa'i St.,,,Gonenim - Katamonim
Zikhron Moshe,Public Shelter No.928,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78725650%2C35.21731920&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78725650%2C35.21731920&amp;navigate=yes&amp;zoom=16"">8 Pri Hadash St.</a> ",130,,104,"""Or Leah"" organization",31.78741269,35.21757937,8 Pri Hadash St.,,,City Center
City Center,Public Shelter No.932,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EiFIYUdpbGJvYSBTdCAzOCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgkhztCxKdYCFRHA7K3epOigOxAmKhQKEglpw1uyKdYCFRFW4en6mwII9Q&amp;ll=31.78300580%2C35.21286900&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EiFIYUdpbGJvYSBTdCAzOCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgkhztCxKdYCFRHA7K3epOigOxAmKhQKEglpw1uyKdYCFRFW4en6mwII9Q&amp;ll=31.78300580%2C35.21286900&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">38 HaGilboa St.</a> ",100,,80,Lev Ha'Ir Community Administration,31.78310575,35.21285728,38 HaGilboa St.,,,City Center
Romema,Public Shelter No.933,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79611500%2C35.19930460&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79611500%2C35.19930460&amp;navigate=yes&amp;zoom=16"">38 HaMem Gimel St.</a> ",100,,80,"""Lev Malka"" organization",31.79601192,35.1991455,38 HaMem Gimel St.,,,Romema
Mahane Yehuda,Public Shelter No.935,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78237690%2C35.21106920&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78237690%2C35.21106920&amp;navigate=yes&amp;zoom=16"">28 Be'er Sheva St.</a> ",170,,136,community synagogue,31.7827654,35.21055875,28 Be'er Sheva St.,,,City Center
Old Katamon,Public Shelter No.937,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76147420%2C35.20966070&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76147420%2C35.20966070&amp;navigate=yes&amp;zoom=16"">38 Hizkiyahu HaMelech St.</a> ",100,,80,"Youth Promotion Department, Education Division, Jerusalem Municipality",31.76174784,35.20969289,38 Hizkiyahu HaMelech St.,,,Gonenim - Katamonim
,Public Shelter No.939,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77201690%2C35.20105720&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77201690%2C35.20105720&amp;navigate=yes&amp;zoom=16"">17 Neve Sha'anan St.</a> ",100,shelter,80,"Koom-Koom Theatre, Culture Division, Jerusalem Municipality ",31.77218105,35.20100356,17 Neve Sha'anan St.,,,"Neve Shaanan, Accessible Shelter"
Talpiot,Public Shelter No.940,"<a rel=""noopener"" href=""https://ul.waze.com/ul?ll=31.75058740%2C35.21983800&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75058740%2C35.21983800&amp;navigate=yes&amp;zoom=16?ll=31.75058740%2C35.21983800&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75058740%2C35.21983800&amp;navigate=yes&amp;zoom=16"">17 Shalom Yehuda St.</a> ",100,,80,"""Ezra"" youth movement",31.751198866808615,35.22008993,17 Shalom Yehuda St.,,,Talpiyot - Arnona
"Giv'at HaVradim (Rassco) ",Public Shelter No.949,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJ_7CQUtrXAhURolBdWhnilZE&amp;ll=31.76542790%2C35.20724910&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJ_7CQUtrXAhURolBdWhnilZE&amp;ll=31.76542790%2C35.20724910&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">33 HaTayasim St.</a> ",100,,80,Ginot Ha'Ir Community Administration,31.765473482943282,35.20729202,33 HaTayasim St.,,,Rassco - Givat HaVradim
Shmuel HaNavi,Public Shelter No.957,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79442760%2C35.21904880&amp;navigate=yes&amp;zoom=16?ll=31.79442760%2C35.21904880&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79442760%2C35.21904880&amp;navigate=yes&amp;zoom=16"">19 Avinadav St.</a> ",450,,360,"""Agudat Or HaTzafon"" synagogue",31.79461696855955,35.2189116,19 Avinadav St.,,,Shmuel HaNavi
Mahane Yehuda,Public Shelter No.961,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78054400%2C35.21113920&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78054400%2C35.21113920&amp;navigate=yes&amp;zoom=16"">17 Even Sapir St.</a> ",100,,80,"""Ariel"" youth movement ",31.78076286,35.21112847,17 Even Sapir St.,,,City Center
Kiryat HaYovel,Public Shelter No.963,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76588580%2C35.17830050&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76588580%2C35.17830050&amp;navigate=yes&amp;zoom=16"">11 Yisrael Zangvill St.</a> ",100,,80,"""Siach Yisrael"" synagogue",31.765835839299733,35.17732240394631,11 Yisrael Zangvill St.,,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.964,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJIZwyUYPXAhURT1-jX4DK4Oc&amp;ll=31.75728610%2C35.17602160&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75752170%2C35.17606360&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75752170%2C35.17606360&amp;navigate=yes&amp;zoom=16"">8 Meir Grunwald St.</a> ",,,144,"Emergency and Security Division, Jerusalem Municipality",31.757286074113505,35.176021603946715,8 Meir Grunwald St.,,,Kiryat Yovel
Katamon,Public Shelter No.965,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75388930%2C35.19664720&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75388930%2C35.19664720&amp;navigate=yes&amp;zoom=16"">7 Yitzhak Sadeh St.</a> ",100,,80,"""Havatzelet HaSharon"" synagogue",31.75373649,35.19636583,7 Yitzhak Sadeh St.,,,Gonenim - Katamonim
Katamon,Public Shelter No.967,"<a rel=""noopener"" href=""https://ul.waze.com/ul?ll=31.75851250%2C35.20964050&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75795620%2C35.20953250&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75795620%2C35.20953250&amp;navigate=yes&amp;zoom=16"">7 Antignos St.</a> ",100,,80,"""Ariel"" movement",31.75888667,35.209264,7 Antignos St.,,,Gonenim - Katamonim
Katamon,Public Shelter No.969- Eligible,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75672320%2C35.20875450&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75672320%2C35.20875450&amp;navigate=yes&amp;zoom=16"">16 Yossi Ben Yo'ezer St.</a> ",100,,80,"Sports Division, Jerusalem Municipality ",31.75687008,35.20875076,16 Yossi Ben Yo'ezer St.,,,Gonenim - Katamonim
Kiryat Shmuel,Public Shelter No.971,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76789020%2C35.21214120&amp;navigate=yes&amp;zoom=16?ll=31.76789020%2C35.21214120&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76789020%2C35.21214120&amp;navigate=yes&amp;zoom=16"">16 HaPalmach St.</a> ",100,,80,Ginot Ha'ir Community Administration ,31.76784826023723,35.212020503946185,16 HaPalmach St.,,,"Kiryat Shmuel, Accessible Shelter"
"Rehavia ",Public Shelter No.972,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77618920%2C35.21420920&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77618920%2C35.21420920&amp;navigate=yes&amp;zoom=16"">26 AlHarizi St.</a> ",100,,80,"""Beit Yael"", Culture Division, Jerusalem Municipality ",31.776280894804234,35.2142244,26 AlHarizi St.,,,Rehavia
City Center,Public Shelter No.973,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77962700%2C35.21560500&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77962700%2C35.21560500&amp;navigate=yes&amp;zoom=16"">5 HaRav Aviyada St.</a> ",100,,80,"Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem ",31.77791035,35.21665559,5 HaRav Aviyada St.,,,City Center
City Center,Public Shelter No.974,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77795129%2C35.21585941&amp;navigate=yes&amp;zoom=17"" target=""_blank"" data-anchor=""?ll=31.77795129%2C35.21585941&amp;navigate=yes&amp;zoom=17"">9 Shmuel Hanagid St.</a> ",100,,80,"Youth Promotion Department, Education Division, Jerusalem Municipality",31.779882942244104,35.2147312,9 Shmuel Hanagid St.,,,City Center
Romema,Public Shelter No.975 A,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79447700%2C35.20174810&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79447700%2C35.20174810&amp;navigate=yes&amp;zoom=16"">15 Zichron Ya'akov St.</a> ",50,,40,"Emergency and Security Division, Jerusalem Municipality",31.79447697409672,35.20174810394518,15 Zichron Ya'akov St.,,,Romema
Romema,Public Shelter No.975 B,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79422280%2C35.20198890&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79422280%2C35.20198890&amp;navigate=yes&amp;zoom=16"">17 Zichron Ya'akov St.</a> ",50,,40,"""Drachei Miryam"" organization",31.794225449819965,35.20202255,17 Zichron Ya'akov St.,,,Romema
Romema,Public Shelter No.975 C,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79395480%2C35.20222220&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79395480%2C35.20222220&amp;navigate=yes&amp;zoom=16"">19 Zichron Ya'akov St.</a> ",50,,40,"Lev Malka"" organization",31.793954774097028,35.20219001743596,19 Zichron Ya'akov St.,,,Romema
Romema,Public Shelter No.975 D,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79351730%2C35.20220770&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79351730%2C35.20220770&amp;navigate=yes&amp;zoom=16"">21 Zichron Ya'akov St.</a> ",50,,40,"Emergency and Security Division, Jerusalem Municipality",31.793535512093083,35.202196975108805,21 Zichron Ya'akov St.,,,Romema
,Public Shelter No.976,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJMUAAJ5PXAhURSk1hhwH4ldk&amp;ll=31.75531500%2C35.19199900&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75548000%2C35.19248900&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75548000%2C35.19248900&amp;navigate=yes&amp;zoom=16"">41 Avraham ElMaliach St.</a> ",50,shelter,40,organization of Israelis of Kurdish origin,31.75536971,35.19197755,41 Avraham Elmaliach St.,,,"Gonenim - Katamonim, Accessible Shelter"
Kiryat Moshe,Public Shelter No.977,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJ3ZUHpDbWAhURHIIWFfInH14&amp;ll=31.78621350%2C35.19733430&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.78662370%2C35.19703000&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78662370%2C35.19703000&amp;navigate=yes&amp;zoom=16"">23 Gat St.</a> ",100,,80,Meitarim Community Administration,31.78641411,35.1973343,23 Gat St.,,,Kiryat Moshe
Kiryat Moshe,Public Shelter No.978,"<a rel=""noopener"" href=""https://ul.waze.com/ul?venue_id=23068990.230689899.323781&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?venue_id=23068990.230689899.323781&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">13 HaRav Tzvi Yehuda St.</a> ",100,,80,Meitarim Community Administration,31.787537495752257,35.195550088599845,13 HaRav Tzvi Yehuda St.,,,Kiryat Moshe
Romema,Public Shelter No.979,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79510120%2C35.20107200&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79510120%2C35.20107200&amp;navigate=yes&amp;zoom=16"">10 Zichron Ya'akov St.</a> ",100,,80,"""Hanichei HaYeshivot Romema"" synagogue",31.795073817564752,35.201082732781515,10 Zichron Ya'akov St.,,,"Romema, Accessible Shelter"
Baka,Public Shelter No.980,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75523270%2C35.21645890&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75523270%2C35.21645890&amp;navigate=yes&amp;zoom=16"">22 ​Rivka St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.7551778,35.21700545,22 ​Rivka St.,,,Baka
Katamon,Public Shelter No.981,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJXektxJLXAhURWAH2ZCVVPQs&amp;ll=31.75430510%2C35.19200820&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75481470%2C35.19195140&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75481470%2C35.19195140&amp;navigate=yes&amp;zoom=16"">27 Avraham Elmaliach St.</a> 
&nbsp; ",50,,40,"""Tzofim"", Society Division, Jerusalem Municipality",31.754341565568573,35.192008203946784,27 Avraham Elmaliach St.,,,Gonenim - Katamonim
Kiryat HaYovel,Public Shelter No.983,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76654040%2C35.17699570&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76654040%2C35.17699570&amp;navigate=yes&amp;zoom=16"">10 Gordon St.</a> ",100,,80,"""Ezra"" youth movement",31.766576860739093,35.177038619291835,10 Gordon St.,,,"Kiryat Yovel, Accessible Shelter"
Baka,Public Shelter No.984,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76170680%2C35.22127960&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76170680%2C35.22127960&amp;navigate=yes&amp;zoom=16"">11 Ya'el St.</a> ",160,,128,"Jerusalem Municipality, Culture Department, Beit Yael",31.76190746,35.2212796,11 Ya'el St.,,,Baka
City Center,Public Shelter No.985,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78526160%2C35.21873190&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78526160%2C35.21873190&amp;navigate=yes&amp;zoom=16"">13 Strauss St.</a> ",50,,40,"""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)",31.78547133,35.21869972,13 Strauss St.,,,City Center
Katamon,Public Shelter No.987,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EjBSYWJhbiBZb2hhbmFuIGJlbiBaYWthaSBTdCAzOCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgmdO9jZ3dcCFRELYi1aT5fa_xAmKhQKEgkfJuoF3tcCFRFvPt8-yjbViA&amp;ll=31.75924130%2C35.20897780&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EjBSYWJhbiBZb2hhbmFuIGJlbiBaYWthaSBTdCAzOCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgmdO9jZ3dcCFRELYi1aT5fa_xAmKhQKEgkfJuoF3tcCFRFvPt8-yjbViA&amp;ll=31.75924130%2C35.20897780&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">38 Yohanan Ben Zakai St.</a> ",100,,80,"""Ohel Moshe"" synagogue",31.759226774112687,35.20898060394658,38 Yohanan Ben Zakai St.,,,Gonenim - Katamonim
,Public Shelter No. 991,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EiZBdnJhaGFtIFNoYXJvbiBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCfGOul6e1wIVEbbsRYsnkxleEAIqFAoSCX05XFme1wIVEQtMU9AWQYOP&amp;ll=31.76390810%2C35.17301330&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EiZBdnJhaGFtIFNoYXJvbiBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCfGOul6e1wIVEbbsRYsnkxleEAIqFAoSCX05XFme1wIVEQtMU9AWQYOP&amp;ll=31.76390810%2C35.17301330&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">Avraham Sharon&nbsp; 2</a> ",,Shelter,,,31.76412699989974,35.17301330344744,"Avraham Sharon  2, Jerusalem",,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.992,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EjVNYSdhbG90IFlpdHNoYWsgVHN2aSBFdGluZ2VyIFN0IDE5LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCSOm1k2Z1wIVEeud_nszKpK9EBMqFAoSCenJ-zWZ1wIVEfz1iyEpg8r-&amp;ll=31.76325670%2C35.17748120&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76306080%2C35.17719380&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76306080%2C35.17719380&amp;navigate=yes&amp;zoom=16"">19 Etinger St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.76325667411079,35.17748120394628,19 Etinger St.,,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.993,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76336200%2C35.17455000&amp;navigate=yes&amp;zoom=16?ll=31.76336200%2C35.17455000&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76336200%2C35.17455000&amp;navigate=yes&amp;zoom=16"">3 Kleinman St.</a> ",100,,80,"Mashu-Mashu Theatre, Culture Division, Jerusalem Municipality",31.76409128,35.1746754,3 Kleinman St.,,,Kiryat Yovel
Baka,Public Shelter No.995,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75734040%2C35.22089700&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75734040%2C35.22089700&amp;navigate=yes&amp;zoom=16"">3 Levi St.</a> ",100,,80,Baka Community Administration,31.75755932,35.220897,3 Levi St.,,,Baka
French Hill,Public Shelter No.998,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.80554010%2C35.24143650&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.80554010%2C35.24143650&amp;navigate=yes&amp;zoom=16"">6 Aba Berdichev St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.80571068,35.24163187,6 Aba Berdichev St.,,,French Hill
